hpo_codes,week_description
HP:0003401,"At the start of this week, I began experiencing sporadic tingling and numbness in my fingers and toes. It's like a pins-and-needles sensation, you know? It comes and goes, and it's been a bit uncomfortable. My doctor mentioned it might be related to my calcium levels."
HP:0012272,"At the start of this week, I began experiencing sporadic tingling and numbness in my fingers and toes. It's like a pins-and-needles sensation, you know? It comes and goes, and it's been a bit uncomfortable. My doctor mentioned it might be related to my calcium levels."
HP:0009524,"At the start of this week, I began experiencing sporadic tingling and numbness in my fingers and toes. It's like a pins-and-needles sensation, you know? It comes and goes, and it's been a bit uncomfortable. My doctor mentioned it might be related to my calcium levels."
HP:0012019,"The tingling and numbness I mentioned earlier have become more frequent and persistent. It's not just in my fingers and toes now; it's spread to my face and around my mouth. Feels a bit like my face has fallen asleep, you know?"
HP:0010768,"The tingling and numbness I mentioned earlier have become more frequent and persistent. It's not just in my fingers and toes now; it's spread to my face and around my mouth. Feels a bit like my face has fallen asleep, you know?"
HP:0003394,"The tingling and numbness haven't completely gone away, but they have become less intense. However, I've noticed that I'm getting muscle cramps more frequently now. They're especially common in my legs and hands. These cramps can be quite painful and make it challenging to move around comfortably."
HP:0003394,"The muscle cramps have continued this week, and unfortunately, they've worsened. They're happening almost every day now, and they're really starting to affect my quality of life. Even small movements trigger them, and the pain can be quite sharp and sudden."
HP:0012378,"The muscle cramps are still ever-present, but now I'm also experiencing fatigue and weakness. I've noticed that I get tired much more easily than before, and even simple tasks require extra effort. My muscles feel weaker too, which is disheartening."
HP:0001324,"The muscle cramps are still ever-present, but now I'm also experiencing fatigue and weakness. I've noticed that I get tired much more easily than before, and even simple tasks require extra effort. My muscles feel weaker too, which is disheartening."
HP:0012378,"The fatigue and weakness have intensified this week. It's like my energy levels have hit rock bottom. I feel drained all the time, even after a good night's sleep. My muscles struggle to keep up with my usual activities, and I find myself needing more rest breaks throughout the day. It's a challenge to maintain my usual level of physical activity."
HP:0001324,"The fatigue and weakness have intensified this week. It's like my energy levels have hit rock bottom. I feel drained all the time, even after a good night's sleep. My muscles struggle to keep up with my usual activities, and I find myself needing more rest breaks throughout the day. It's a challenge to maintain my usual level of physical activity."
HP:0002321,"I've started experiencing episodes of dizziness and lightheadedness. It's like the room spins around me, and I feel unsteady on my feet. These episodes come and go, but they're quite unsettling, especially when they catch me off guard."
HP:0002017,"I've started experiencing episodes of dizziness and lightheadedness. It's like the room spins around me, and I feel unsteady on my feet. These episodes come and go, but they're quite unsettling, especially when they catch me off guard."
HP:0002027,"The dizziness has become more frequent, and it's accompanied by a new symptom: abdominal pain. The pain is dull and persistent, located around my stomach area. It's not excruciating, but it's enough to cause discomfort and make me feel uneasy. I'm not sure if it's directly related to the condition, but it's something new that has popped up."
HP:0002225,"The muscle cramps, fatigue, weakness, dizziness, and abdominal pain are all persisting. On top of that, I've noticed that my hair has become thinner and more brittle. I've never had great hair, but this sudden change is quite disheartening."
HP:0002299,"The muscle cramps, fatigue, weakness, dizziness, and abdominal pain are all persisting. On top of that, I've noticed that my hair has become thinner and more brittle. I've never had great hair, but this sudden change is quite disheartening."
HP:0000791,"The muscle cramps are nearly constant, and the fatigue and weakness have reached new levels. My dizziness has become a near-constant companion, making it difficult to go about my daily routine. The abdominal pain persists, and now I'm also dealing with recurrent kidney stones. They can be excruciatingly painful when they pass through."
HP:0002597,"I've been having these weird muscle twitches all over my body. It's like little spasms that come and go. They're not painful, but they're definitely noticeable. My doctor thinks it might have something to do with my calcium levels."
HP:0003401,"The muscle twitches are still there, but now I'm experiencing these tingling sensations in my fingers and toes. It's like a constant, mild pins-and-needles feeling. It's not too bothersome, but it's definitely strange."
HP:0040283,"The muscle twitches are still there, but now I'm experiencing these tingling sensations in my fingers and toes. It's like a constant, mild pins-and-needles feeling. It's not too bothersome, but it's definitely strange."
HP:0040282,"The muscle twitches are still there, but now I'm experiencing these tingling sensations in my fingers and toes. It's like a constant, mild pins-and-needles feeling. It's not too bothersome, but it's definitely strange."
HP:0003401,"This week, the tingling sensations in my fingers and toes have become more frequent. It's not just a mild sensation anymore; it's more pronounced. Sometimes it feels like my fingers and toes are falling asleep. I've also noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it hard to move around comfortably."
HP:0040283,"This week, the tingling sensations in my fingers and toes have become more frequent. It's not just a mild sensation anymore; it's more pronounced. Sometimes it feels like my fingers and toes are falling asleep. I've also noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it hard to move around comfortably."
HP:0040282,"This week, the tingling sensations in my fingers and toes have become more frequent. It's not just a mild sensation anymore; it's more pronounced. Sometimes it feels like my fingers and toes are falling asleep. I've also noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it hard to move around comfortably."
HP:0003394,"This week, the tingling sensations in my fingers and toes have become more frequent. It's not just a mild sensation anymore; it's more pronounced. Sometimes it feels like my fingers and toes are falling asleep. I've also noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it hard to move around comfortably."
HP:0003394,"The muscle cramps have continued this week, and they're happening more frequently. They're still mainly in my legs, but now I'm also experiencing them in my hands. The cramps can be quite painful and sudden. It's starting to affect my daily activities. I'm also feeling more fatigued than usual. I get tired easily, even after a good night's sleep."
